GISJOIN,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLOCKA
G3600590518201117,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,518201,117
G3600590518202208,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,518202,208
G36005905183229,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,5183,229
G3600590520402309,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,520402,309
G3600590521601213,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,521601,213
G36005905219909,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,5219,909
G3600610000202302,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,000202,302
G3600610000202306,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,000202,306
G3600610003002107,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,003002,107
G3600610003602302,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,003602,302
G3600610004402102,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,004402,102
G36006100062902,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0062,902
G36006100079305,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0079,305
G36006100099109,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0099,109
G3600610023501104,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,023501,104
G36006100237303,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0237,303
G36006100295105,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0295,105
G36006100297913,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0297,913
G36006100319801,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,801
G36006100319802,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,802
G36006100319803,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,803
