ZIP Code,HUD Area Code,HUD Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
12007,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$900,$810,$990,"$1,000",$900,"$1,100","$1,220","$1,098","$1,342","$1,510","$1,359","$1,661","$1,650","$1,485","$1,815"
12008,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$930,$837,"$1,023","$1,040",$936,"$1,144","$1,270","$1,143","$1,397","$1,570","$1,413","$1,727","$1,720","$1,548","$1,892"
12009,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$950,$855,"$1,045","$1,060",$954,"$1,166","$1,290","$1,161","$1,419","$1,590","$1,431","$1,749","$1,750","$1,575","$1,925"
12010,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$730,$657,$803,$830,$747,$913,"$1,010",$909,"$1,111","$1,260","$1,134","$1,386","$1,370","$1,233","$1,507"
12018,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$970,$873,"$1,067","$1,080",$972,"$1,188","$1,310","$1,179","$1,441","$1,620","$1,458","$1,782","$1,780","$1,602","$1,958"
12019,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$930,$837,"$1,023","$1,030",$927,"$1,133","$1,260","$1,134","$1,386","$1,560","$1,404","$1,716","$1,710","$1,539","$1,881"
12020,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,020",$918,"$1,122","$1,140","$1,026","$1,254","$1,390","$1,251","$1,529","$1,720","$1,548","$1,892","$1,880","$1,692","$2,068"
12022,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$900,$810,$990,"$1,000",$900,"$1,100","$1,220","$1,098","$1,342","$1,510","$1,359","$1,661","$1,650","$1,485","$1,815"
12023,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$850,$765,$935,$950,$855,"$1,045","$1,160","$1,044","$1,276","$1,430","$1,287","$1,573","$1,570","$1,413","$1,727"
12024,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$850,$765,$935,$950,$855,"$1,045","$1,160","$1,044","$1,276","$1,430","$1,287","$1,573","$1,570","$1,413","$1,727"
12025,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$730,$657,$803,$830,$747,$913,"$1,010",$909,"$1,111","$1,260","$1,134","$1,386","$1,370","$1,233","$1,507"
12027,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,040",$936,"$1,144","$1,160","$1,044","$1,276","$1,410","$1,269","$1,551","$1,740","$1,566","$1,914","$1,910","$1,719","$2,101"
12028,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$730,$657,$803,$840,$756,$924,"$1,040",$936,"$1,144","$1,320","$1,188","$1,452","$1,410","$1,269","$1,551"
12031,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$730,$657,$803,$830,$747,$913,"$1,010",$909,"$1,111","$1,260","$1,134","$1,386","$1,370","$1,233","$1,507"
12033,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$920,$828,"$1,012","$1,030",$927,"$1,133","$1,250","$1,125","$1,375","$1,550","$1,395","$1,705","$1,700","$1,530","$1,870"
12035,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$770,$693,$847,$860,$774,$946,"$1,050",$945,"$1,155","$1,300","$1,170","$1,430","$1,420","$1,278","$1,562"
12036,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$730,$657,$803,$830,$747,$913,"$1,010",$909,"$1,111","$1,260","$1,134","$1,386","$1,370","$1,233","$1,507"
12040,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$880,$792,$968,$980,$882,"$1,078","$1,200","$1,080","$1,320","$1,480","$1,332","$1,628","$1,620","$1,458","$1,782"
12041,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$910,$819,"$1,001","$1,010",$909,"$1,111","$1,230","$1,107","$1,353","$1,520","$1,368","$1,672","$1,660","$1,494","$1,826"
12043,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$730,$657,$803,$830,$747,$913,"$1,010",$909,"$1,111","$1,260","$1,134","$1,386","$1,370","$1,233","$1,507"
12045,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$740,$666,$814,$830,$747,$913,"$1,010",$909,"$1,111","$1,260","$1,134","$1,386","$1,370","$1,233","$1,507"
12046,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$890,$801,$979,"$1,000",$900,"$1,100","$1,210","$1,089","$1,331","$1,500","$1,350","$1,650","$1,640","$1,476","$1,804"
12047,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$830,$747,$913,$920,$828,"$1,012","$1,120","$1,008","$1,232","$1,380","$1,242","$1,518","$1,520","$1,368","$1,672"
12052,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$830,$747,$913,$930,$837,"$1,023","$1,130","$1,017","$1,243","$1,400","$1,260","$1,540","$1,530","$1,377","$1,683"
12053,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,150","$1,035","$1,265","$1,280","$1,152","$1,408","$1,560","$1,404","$1,716","$1,930","$1,737","$2,123","$2,120","$1,908","$2,332"
12054,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,020",$918,"$1,122","$1,140","$1,026","$1,254","$1,390","$1,251","$1,529","$1,720","$1,548","$1,892","$1,880","$1,692","$2,068"
12055,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$900,$810,$990,"$1,000",$900,"$1,100","$1,220","$1,098","$1,342","$1,510","$1,359","$1,661","$1,650","$1,485","$1,815"
12056,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$870,$783,$957,$970,$873,"$1,067","$1,180","$1,062","$1,298","$1,460","$1,314","$1,606","$1,600","$1,440","$1,760"
12057,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$730,$657,$803,$840,$756,$924,"$1,040",$936,"$1,144","$1,330","$1,197","$1,463","$1,420","$1,278","$1,562"
12059,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$730,$657,$803,$830,$747,$913,"$1,010",$909,"$1,111","$1,260","$1,134","$1,386","$1,370","$1,233","$1,507"
12061,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,090",$981,"$1,199","$1,210","$1,089","$1,331","$1,480","$1,332","$1,628","$1,830","$1,647","$2,013","$2,010","$1,809","$2,211"
12062,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$770,$693,$847,$860,$774,$946,"$1,050",$945,"$1,155","$1,290","$1,161","$1,419","$1,420","$1,278","$1,562"
