ZIP Code,HUD Area Code,HUD Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
11559,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,210","$2,889","$3,531","$3,440","$3,096","$3,784"
11580,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,490","$2,241","$2,739","$3,230","$2,907","$3,553","$3,460","$3,114","$3,806"
11691,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,180","$1,962","$2,398","$2,280","$2,052","$2,508","$2,520","$2,268","$2,772","$3,140","$2,826","$3,454","$3,390","$3,051","$3,729"
11692,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
11693,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
11694,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
11697,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
12524,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
12531,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
12533,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
12563,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
12564,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
12582,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
10910,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,340","$1,206","$1,474","$1,530","$1,377","$1,683","$1,950","$1,755","$2,145","$2,490","$2,241","$2,739","$2,690","$2,421","$2,959"
10911,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$2,910","$2,619","$3,201","$2,990","$2,691","$3,289","$3,360","$3,024","$3,696","$4,190","$3,771","$4,609","$4,510","$4,059","$4,961"
10912,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,340","$1,206","$1,474","$1,530","$1,377","$1,683","$1,950","$1,755","$2,145","$2,490","$2,241","$2,739","$2,690","$2,421","$2,959"
10914,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,360","$1,224","$1,496","$1,540","$1,386","$1,694","$1,980","$1,782","$2,178","$2,520","$2,268","$2,772","$2,730","$2,457","$3,003"
10915,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,390","$1,251","$1,529","$1,570","$1,413","$1,727","$2,010","$1,809","$2,211","$2,560","$2,304","$2,816","$2,770","$2,493","$3,047"
10916,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,310","$1,179","$1,441","$1,490","$1,341","$1,639","$1,910","$1,719","$2,101","$2,440","$2,196","$2,684","$2,640","$2,376","$2,904"
10917,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,640","$1,476","$1,804","$1,870","$1,683","$2,057","$2,390","$2,151","$2,629","$3,050","$2,745","$3,355","$3,300","$2,970","$3,630"
10918,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,440","$1,296","$1,584","$1,640","$1,476","$1,804","$2,100","$1,890","$2,310","$2,680","$2,412","$2,948","$2,900","$2,610","$3,190"
10919,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,360","$1,224","$1,496","$1,540","$1,386","$1,694","$1,960","$1,764","$2,156","$2,510","$2,259","$2,761","$2,720","$2,448","$2,992"
10921,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,630","$1,467","$1,793","$1,860","$1,674","$2,046","$2,380","$2,142","$2,618","$3,040","$2,736","$3,344","$3,280","$2,952","$3,608"
10922,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,430","$1,287","$1,573","$1,640","$1,476","$1,804","$2,090","$1,881","$2,299","$2,670","$2,403","$2,937","$2,880","$2,592","$3,168"
10924,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,260","$1,134","$1,386","$1,440","$1,296","$1,584","$1,840","$1,656","$2,024","$2,350","$2,115","$2,585","$2,540","$2,286","$2,794"
10925,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,210","$1,089","$1,331","$1,380","$1,242","$1,518","$1,770","$1,593","$1,947","$2,260","$2,034","$2,486","$2,440","$2,196","$2,684"
10926,METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA","$1,690","$1,521","$1,859","$1,930","$1,737","$2,123","$2,470","$2,223","$2,717","$3,150","$2,835","$3,465","$3,410","$3,069","$3,751"
