pop_est_old,ZIP Code,SAFMR 1BR_old,SAFMR 1BR_new,SAFMR_1BR_change,SAFMR_1BR_PERC_CHANGE,pops_count
72479.0,10466,1540.0,2210.0,670.0,0.43506493506493504,0.0
103732.0,10467,1520.0,2210.0,690.0,0.45394736842105265,0.0
78647.0,10468,1470.0,2210.0,740.0,0.5034013605442177,0.0
73870.0,10469,1620.0,2220.0,600.0,0.37037037037037035,0.0
15432.0,10470,1650.0,2210.0,560.0,0.3393939393939394,0.0
15432.0,10470,1650.0,2210.0,560.0,0.3393939393939394,0.0
30800.0,11102,1950.0,2980.0,1030.0,0.5282051282051282,0.0
5981.0,11109,2400.0,3320.0,920.0,0.38333333333333336,0.0
21896.0,10471,1870.0,2280.0,410.0,0.2192513368983957,0.0
68796.0,10472,1440.0,2210.0,770.0,0.5347222222222222,0.0
59609.0,10473,1410.0,2210.0,800.0,0.5673758865248227,0.0
12127.0,10474,1410.0,2210.0,800.0,0.5673758865248227,0.0
36140.0,11103,1850.0,2680.0,830.0,0.4486486486486487,0.0
43208.0,10475,1410.0,2210.0,800.0,0.5673758865248227,0.0
62823.0,11201,2400.0,3500.0,1100.0,0.4583333333333333,0.0
75451.0,11203,1520.0,2210.0,690.0,0.45394736842105265,0.0
76978.0,11204,1510.0,2210.0,700.0,0.46357615894039733,0.0
46064.0,11205,1700.0,2550.0,850.0,0.5,0.0
88349.0,11206,1420.0,2210.0,790.0,0.5563380281690141,0.0
91972.0,11207,1490.0,2210.0,720.0,0.48322147651006714,0.0
67809.0,11209,1830.0,2490.0,660.0,0.36065573770491804,0.0
98660.0,11208,1470.0,2210.0,740.0,0.5034013605442177,0.0
67040.0,11210,1490.0,2210.0,720.0,0.48322147651006714,0.0
102624.0,11211,1740.0,2770.0,1030.0,0.5919540229885057,0.0
76527.0,11212,1450.0,2210.0,760.0,0.5241379310344828,0.0
66295.0,11213,1450.0,2210.0,760.0,0.5241379310344828,0.0
74508.0,11218,1750.0,2480.0,730.0,0.41714285714285715,0.0
92946.0,11214,1530.0,2210.0,680.0,0.4444444444444444,0.0
70156.0,11215,2400.0,3500.0,1100.0,0.4583333333333333,0.0
56308.0,11216,1580.0,2710.0,1130.0,0.7151898734177216,0.0
41407.0,11217,2400.0,3500.0,1100.0,0.4583333333333333,0.0
90036.0,11219,1480.0,2210.0,730.0,0.49324324324324326,0.0
95643.0,11220,1510.0,2210.0,700.0,0.46357615894039733,0.0
83835.0,11221,1480.0,2380.0,900.0,0.6081081081081081,0.0
36492.0,11222,1900.0,2970.0,1070.0,0.5631578947368421,0.0
81789.0,11223,1600.0,2210.0,610.0,0.38125,0.0
46707.0,11224,1410.0,2210.0,800.0,0.5673758865248227,0.0
58882.0,11225,1480.0,2260.0,780.0,0.527027027027027,0.0
100277.0,11226,1530.0,2210.0,680.0,0.4444444444444444,0.0
44994.0,11228,1650.0,2210.0,560.0,0.3393939393939394,0.0
89075.0,11230,1660.0,2330.0,670.0,0.4036144578313253,0.0
19372.0,11415,1820.0,2470.0,650.0,0.35714285714285715,0.0
83615.0,11229,1590.0,2210.0,620.0,0.389937106918239,0.0
37845.0,11231,2370.0,3320.0,950.0,0.4008438818565401,0.0
37190.0,11358,1940.0,2440.0,500.0,0.25773195876288657,0.0
27602.0,11232,1620.0,2250.0,630.0,0.3888888888888889,0.0
76819.0,11233,1490.0,2210.0,720.0,0.48322147651006714,0.0
95666.0,11234,1650.0,2240.0,590.0,0.3575757575757576,0.0
78128.0,11235,1700.0,2230.0,530.0,0.31176470588235294,0.0
100331.0,11236,1620.0,2210.0,590.0,0.36419753086419754,0.0
49310.0,11237,1500.0,2230.0,730.0,0.4866666666666667,0.0
54540.0,11238,1820.0,3030.0,1210.0,0.6648351648351648,0.0
13244.0,11239,1410.0,2210.0,800.0,0.5673758865248227,0.0
55200.0,11354,1800.0,2300.0,500.0,0.2777777777777778,0.0
80853.0,11355,1630.0,2320.0,690.0,0.4233128834355828,0.0
23362.0,11356,1760.0,2580.0,820.0,0.4659090909090909,0.0
39902.0,11357,1860.0,2670.0,810.0,0.43548387096774194,0.0
19621.0,11360,2310.0,2950.0,640.0,0.27705627705627706,0.0
61844.0,11372,1690.0,2380.0,690.0,0.40828402366863903,0.0
27246.0,11361,2030.0,2750.0,720.0,0.35467980295566504,0.0
18721.0,11362,2060.0,2970.0,910.0,0.441747572815534,0.0
27125.0,11416,1600.0,2210.0,610.0,0.38125,0.0
6952.0,11363,1990.0,2940.0,950.0,0.47738693467336685,0.0
6952.0,11363,1990.0,2940.0,950.0,0.47738693467336685,0.0
36806.0,11364,1870.0,2760.0,890.0,0.47593582887700536,0.0
93967.0,11373,1780.0,2430.0,650.0,0.3651685393258427,0.0
44983.0,11365,1650.0,2210.0,560.0,0.3393939393939394,0.0
14650.0,11366,1880.0,2470.0,590.0,0.31382978723404253,0.0
41824.0,11367,1600.0,2210.0,610.0,0.38125,0.0
42653.0,11374,1780.0,2820.0,1040.0,0.5842696629213483,0.0
112425.0,11368,1750.0,2400.0,650.0,0.37142857142857144,0.0
31927.0,11417,1660.0,2380.0,720.0,0.43373493975903615,0.0
34118.0,11369,1690.0,2380.0,690.0,0.40828402366863903,0.0
32514.0,11370,1820.0,2550.0,730.0,0.4010989010989011,0.0
73488.0,11375,2040.0,2840.0,800.0,0.39215686274509803,0.0
37851.0,11379,1700.0,2470.0,770.0,0.45294117647058824,0.0
86421.0,11377,1750.0,2370.0,620.0,0.35428571428571426,0.0
37279.0,11378,1690.0,2400.0,710.0,0.42011834319526625,0.0
41002.0,11421,1680.0,2380.0,700.0,0.4166666666666667,0.0
32082.0,11422,1840.0,2710.0,870.0,0.47282608695652173,0.0
106717.0,11385,1550.0,2260.0,710.0,0.45806451612903226,0.0
20930.0,11411,1660.0,2210.0,550.0,0.3313253012048193,0.0
37458.0,11412,1560.0,2210.0,650.0,0.4166666666666667,0.0
42443.0,11413,1690.0,2520.0,830.0,0.4911242603550296,0.0
29219.0,11414,1770.0,2450.0,680.0,0.384180790960452,0.0
48489.0,11420,1650.0,2510.0,860.0,0.5212121212121212,0.0
38517.0,11418,1640.0,2310.0,670.0,0.40853658536585363,0.0
49618.0,11419,1620.0,2380.0,760.0,0.4691358024691358,0.0
31400.0,11423,1480.0,2210.0,730.0,0.49324324324324326,0.0
20801.0,11426,1750.0,2600.0,850.0,0.4857142857142857,0.0
24037.0,11427,1510.0,2210.0,700.0,0.46357615894039733,0.0
18929.0,11428,1630.0,2210.0,580.0,0.3558282208588957,0.0
20077.0,11436,1710.0,2500.0,790.0,0.4619883040935672,0.0
67094.0,11691,1560.0,2280.0,720.0,0.46153846153846156,0.0
67094.0,11691,1560.0,2280.0,720.0,0.46153846153846156,0.0
20991.0,11692,1410.0,2210.0,800.0,0.5673758865248227,0.0
12919.0,11693,1410.0,2210.0,800.0,0.5673758865248227,0.0
31780.0,11429,1610.0,2210.0,600.0,0.37267080745341613,0.0
62053.0,11432,1710.0,2440.0,730.0,0.4269005847953216,0.0
36489.0,11433,1540.0,2210.0,670.0,0.43506493506493504,0.0
65989.0,11434,1410.0,2210.0,800.0,0.5673758865248227,0.0
59296.0,11435,1620.0,2270.0,650.0,0.4012345679012346,0.0
21354.0,11694,1450.0,2210.0,760.0,0.5241379310344828,0.0
3540.0,11697,1630.0,2210.0,580.0,0.3558282208588957,0.0
