ZIP Code,rent_increase,rent_pct_change,rent,pops_count
10008,340.0,10.932475884244374,3450.0,0
10009,130.0,4.4520547945205475,3050.0,0
10012,450.0,12.228260869565217,4130.0,0
10025,180.0,7.199999999999999,2680.0,0
10026,220.0,9.205020920502092,2610.0,0
10027,150.0,6.756756756756757,2370.0,0
10029,100.0,4.739336492890995,2210.0,0
10030,100.0,4.739336492890995,2210.0,0
10031,200.0,8.620689655172415,2520.0,0
10032,100.0,4.739336492890995,2210.0,0
10033,140.0,5.957446808510639,2490.0,0
10034,210.0,9.130434782608695,2510.0,0
10035,190.0,8.597285067873303,2400.0,0
10037,180.0,7.894736842105263,2460.0,0
10039,100.0,4.739336492890995,2210.0,0
10040,170.0,7.456140350877193,2450.0,0
10043,340.0,10.932475884244374,3450.0,0
10044,450.0,12.228260869565217,4130.0,0
10045,340.0,10.932475884244374,3450.0,0
10069,450.0,12.228260869565217,4130.0,0
10080,340.0,10.932475884244374,3450.0,0
10081,340.0,10.932475884244374,3450.0,0
10101,340.0,10.932475884244374,3450.0,0
10103,340.0,10.932475884244374,3450.0,0
10104,340.0,10.932475884244374,3450.0,0
10107,340.0,10.932475884244374,3450.0,0
10108,340.0,10.932475884244374,3450.0,0
10110,340.0,10.932475884244374,3450.0,0
10111,340.0,10.932475884244374,3450.0,0
10112,340.0,10.932475884244374,3450.0,0
10113,340.0,10.932475884244374,3450.0,0
10115,340.0,10.932475884244374,3450.0,0
10116,340.0,10.932475884244374,3450.0,0
10117,340.0,10.932475884244374,3450.0,0
10118,340.0,10.932475884244374,3450.0,0
10120,340.0,10.932475884244374,3450.0,0
10122,340.0,10.932475884244374,3450.0,0
10123,340.0,10.932475884244374,3450.0,0
10124,340.0,10.932475884244374,3450.0,0
10125,340.0,10.932475884244374,3450.0,0
10126,340.0,10.932475884244374,3450.0,0
10129,340.0,10.932475884244374,3450.0,0
10130,-460.0,-14.790996784565916,2650.0,0
10131,340.0,10.932475884244374,3450.0,0
10133,340.0,10.932475884244374,3450.0,0
10138,340.0,10.932475884244374,3450.0,0
10150,340.0,10.932475884244374,3450.0,0
10151,340.0,10.932475884244374,3450.0,0
10152,1020.0,32.79742765273312,4130.0,0
10156,340.0,10.932475884244374,3450.0,0
10157,340.0,10.932475884244374,3450.0,0
10158,340.0,10.932475884244374,3450.0,0
10159,340.0,10.932475884244374,3450.0,0
10160,340.0,10.932475884244374,3450.0,0
10162,450.0,12.228260869565217,4130.0,0
10163,340.0,10.932475884244374,3450.0,0
10164,340.0,10.932475884244374,3450.0,0
10165,340.0,10.932475884244374,3450.0,0
10166,340.0,10.932475884244374,3450.0,0
10168,340.0,10.932475884244374,3450.0,0
10169,340.0,10.932475884244374,3450.0,0
10170,340.0,10.932475884244374,3450.0,0
10172,340.0,10.932475884244374,3450.0,0
10173,340.0,10.932475884244374,3450.0,0
10174,340.0,10.932475884244374,3450.0,0
10175,340.0,10.932475884244374,3450.0,0
10176,340.0,10.932475884244374,3450.0,0
10177,340.0,10.932475884244374,3450.0,0
10185,340.0,10.932475884244374,3450.0,0
10199,320.0,10.223642172523961,3450.0,0
10203,340.0,10.932475884244374,3450.0,0
10211,340.0,10.932475884244374,3450.0,0
10212,340.0,10.932475884244374,3450.0,0
10213,340.0,10.932475884244374,3450.0,0
10258,340.0,10.932475884244374,3450.0,0
10268,340.0,10.932475884244374,3450.0,0
10269,340.0,10.932475884244374,3450.0,0
10271,340.0,10.932475884244374,3450.0,0
10272,340.0,10.932475884244374,3450.0,0
10274,340.0,10.932475884244374,3450.0,0
10275,340.0,10.932475884244374,3450.0,0
10276,340.0,10.932475884244374,3450.0,0
10277,340.0,10.932475884244374,3450.0,0
10278,340.0,10.932475884244374,3450.0,0
10279,-230.0,-6.25,3450.0,0
10280,450.0,12.228260869565217,4130.0,0
10281,340.0,10.932475884244374,3450.0,0
10282,210.0,6.0,3710.0,0
