"GEO_ID","NAME","P8_001N","P8_002N","P8_003N","P8_004N","P8_005N","P8_006N","P8_007N","P8_008N","P8_009N","P8_010N","P8_011N","P8_012N","P8_013N","P8_014N","P8_015N","P8_016N","P8_017N","P8_018N","P8_019N","P8_020N","P8_021N","P8_022N","P8_023N","P8_024N","P8_025N","P8_026N","P8_027N","P8_028N","P8_029N","P8_030N","P8_031N","P8_032N","P8_033N","P8_034N","P8_035N","P8_036N","P8_037N","P8_038N","P8_039N","P8_040N","P8_041N","P8_042N","P8_043N","P8_044N","P8_045N","P8_046N","P8_047N","P8_048N","P8_049N","P8_050N","P8_051N","P8_052N","P8_053N","P8_054N","P8_055N","P8_056N","P8_057N","P8_058N","P8_059N","P8_060N","P8_061N","P8_062N","P8_063N","P8_064N","P8_065N","P8_066N","P8_067N","P8_068N","P8_069N","P8_070N","P8_071N",
"860Z200US12987","ZCTA5 12987","296","288","282","4","0","0","0","2","8","8","0","2","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US12989","ZCTA5 12989","947","908","897","3","2","2","0","4","39","39","3","9","2","0","24","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US12992","ZCTA5 12992","4796","4563","4458","42","11","17","2","33","233","223","33","98","17","2","68","0","0","0","1","1","0","1","1","1","0","10","0","4","0","0","1","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US12993","ZCTA5 12993","1657","1559","1512","15","2","0","5","25","98","89","9","48","5","0","24","0","0","0","2","0","0","0","0","0","1","7","0","0","1","0","0","3","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0",
"860Z200US12996","ZCTA5 12996","1879","1821","1798","6","9","7","1","0","58","56","9","23","8","1","11","0","0","0","2","0","0","0","1","1","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US12997","ZCTA5 12997","1139","1093","1076","2","2","2","0","11","46","42","7","11","2","0","20","0","2","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US12998","ZCTA5 12998","569","523","508","3","0","0","0","12","46","46","3","22","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13020","ZCTA5 13020","149","142","142","0","0","0","0","0","7","7","0","3","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13021","ZCTA5 13021","38479","35928","33587","1523","138","267","19","394","2551","2411","917","511","96","33","733","38","8","0","54","2","1","10","1","4","3","126","57","5","0","28","1","0","18","3","2","1","0","0","1","1","5","0","0","0","0","4","14","7","0","5","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13024","ZCTA5 13024","1122","1122","310","708","22","1","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13026","ZCTA5 13026","1523","1455","1313","68","5","14","0","55","68","62","17","17","2","0","21","0","0","0","2","0","0","0","3","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
