ZIP Code,HUD Area Code,HUD Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
12007,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$980,$882,"$1,078","$1,090",$981,"$1,199","$1,330","$1,197","$1,463","$1,620","$1,458","$1,782","$1,790","$1,611","$1,969"
12008,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,010",$909,"$1,111","$1,130","$1,017","$1,243","$1,370","$1,233","$1,507","$1,660","$1,494","$1,826","$1,840","$1,656","$2,024"
12009,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,040",$936,"$1,144","$1,160","$1,044","$1,276","$1,410","$1,269","$1,551","$1,720","$1,548","$1,892","$1,890","$1,701","$2,079"
12010,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12018,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,050",$945,"$1,155","$1,170","$1,053","$1,287","$1,420","$1,278","$1,562","$1,730","$1,557","$1,903","$1,910","$1,719","$2,101"
12019,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,020",$918,"$1,122","$1,130","$1,017","$1,243","$1,380","$1,242","$1,518","$1,680","$1,512","$1,848","$1,850","$1,665","$2,035"
12020,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,140","$1,026","$1,254","$1,270","$1,143","$1,397","$1,550","$1,395","$1,705","$1,890","$1,701","$2,079","$2,080","$1,872","$2,288"
12022,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$850,$765,$935,$950,$855,"$1,045","$1,180","$1,062","$1,298","$1,440","$1,296","$1,584","$1,630","$1,467","$1,793"
12023,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12024,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$930,$837,"$1,023","$1,040",$936,"$1,144","$1,260","$1,134","$1,386","$1,530","$1,377","$1,683","$1,690","$1,521","$1,859"
12025,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12027,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,220","$1,098","$1,342","$1,360","$1,224","$1,496","$1,660","$1,494","$1,826","$2,020","$1,818","$2,222","$2,230","$2,007","$2,453"
12028,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$920,$828,"$1,012","$1,040",$936,"$1,144","$1,280","$1,152","$1,408","$1,600","$1,440","$1,760","$1,710","$1,539","$1,881"
12031,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$910,$819,"$1,001","$1,100",$990,"$1,210","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12033,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,000",$900,"$1,100","$1,110",$999,"$1,221","$1,350","$1,215","$1,485","$1,640","$1,476","$1,804","$1,810","$1,629","$1,991"
12035,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$890,$801,$979,"$1,000",$900,"$1,100","$1,210","$1,089","$1,331","$1,480","$1,332","$1,628","$1,630","$1,467","$1,793"
12036,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12040,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12041,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$930,$837,"$1,023","$1,030",$927,"$1,133","$1,260","$1,134","$1,386","$1,530","$1,377","$1,683","$1,690","$1,521","$1,859"
12043,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12045,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$910,$819,"$1,001","$1,010",$909,"$1,111","$1,230","$1,107","$1,353","$1,500","$1,350","$1,650","$1,650","$1,485","$1,815"
12046,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$860,$774,$946,$960,$864,"$1,056","$1,170","$1,053","$1,287","$1,420","$1,278","$1,562","$1,560","$1,404","$1,716"
12047,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$920,$828,"$1,012","$1,030",$927,"$1,133","$1,250","$1,125","$1,375","$1,520","$1,368","$1,672","$1,680","$1,512","$1,848"
12052,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$940,$846,"$1,034","$1,050",$945,"$1,155","$1,280","$1,152","$1,408","$1,560","$1,404","$1,716","$1,720","$1,548","$1,892"
12053,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,040",$936,"$1,144","$1,160","$1,044","$1,276","$1,410","$1,269","$1,551","$1,740","$1,566","$1,914","$1,910","$1,719","$2,101"
12054,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,110",$999,"$1,221","$1,230","$1,107","$1,353","$1,500","$1,350","$1,650","$1,830","$1,647","$2,013","$2,020","$1,818","$2,222"
12055,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$980,$882,"$1,078","$1,090",$981,"$1,199","$1,330","$1,197","$1,463","$1,620","$1,458","$1,782","$1,790","$1,611","$1,969"
12056,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$940,$846,"$1,034","$1,040",$936,"$1,144","$1,270","$1,143","$1,397","$1,550","$1,395","$1,705","$1,710","$1,539","$1,881"
12057,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12059,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12061,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,200","$1,080","$1,320","$1,340","$1,206","$1,474","$1,630","$1,467","$1,793","$1,980","$1,782","$2,178","$2,190","$1,971","$2,409"
12062,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$940,$846,"$1,034","$1,040",$936,"$1,144","$1,270","$1,143","$1,397","$1,550","$1,395","$1,705","$1,710","$1,539","$1,881"
12063,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,020",$918,"$1,122","$1,140","$1,026","$1,254","$1,390","$1,251","$1,529","$1,680","$1,512","$1,848","$1,860","$1,674","$2,046"
12064,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12065,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,110",$999,"$1,221","$1,240","$1,116","$1,364","$1,510","$1,359","$1,661","$1,840","$1,656","$2,024","$2,030","$1,827","$2,233"
12066,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,000",$900,"$1,100","$1,120","$1,008","$1,232","$1,360","$1,224","$1,496","$1,660","$1,494","$1,826","$1,830","$1,647","$2,013"
12067,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$930,$837,"$1,023","$1,040",$936,"$1,144","$1,260","$1,134","$1,386","$1,550","$1,395","$1,705","$1,710","$1,539","$1,881"
12071,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12073,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$810,$729,$891,$900,$810,$990,"$1,090",$981,"$1,199","$1,350","$1,215","$1,485","$1,480","$1,332","$1,628"
12074,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,050",$945,"$1,155","$1,170","$1,053","$1,287","$1,420","$1,278","$1,562","$1,730","$1,557","$1,903","$1,910","$1,719","$2,101"
12076,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$870,$783,$957,$970,$873,"$1,067","$1,180","$1,062","$1,298","$1,440","$1,296","$1,584","$1,590","$1,431","$1,749"
12077,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,200","$1,080","$1,320","$1,340","$1,206","$1,474","$1,630","$1,467","$1,793","$1,980","$1,782","$2,178","$2,190","$1,971","$2,409"
12082,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$930,$837,"$1,023","$1,040",$936,"$1,144","$1,260","$1,134","$1,386","$1,530","$1,377","$1,683","$1,690","$1,521","$1,859"
12083,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$920,$828,"$1,012","$1,030",$927,"$1,133","$1,250","$1,125","$1,375","$1,520","$1,368","$1,672","$1,680","$1,512","$1,848"
